Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_6473783273255196;0.1284;0.1751;0.2000;0.2000;0.2500;0.0312;0.0625;0.1562;0.0182;0.7321;0.5912;2;5;0.0429;0.8214;0.6423;Qwen 2.5-1.5B
ID_1343302903420183;0.5511;0.4703;0.8000;0.6000;0.4000;0.1600;0.2400;0.3200;0.1993;0.1332;0.5993;6;8;0.2369;0.2136;0.6699;Qwen 2.5-1.5B
ID_3309342336039521;0.2201;0.3049;0.2000;0.1000;0.2500;0.0286;0.0286;0.1429;0.0286;0.2568;0.7271;1;5;0.0538;0.2973;0.6652;Qwen 2.5-1.5B
ID_6885920219067791;0.1920;0.2676;0.2000;0.3000;0.3500;0.0370;0.1111;0.2593;0.0327;0.2228;0.6635;3;7;0.0875;0.2970;0.6813;Qwen 2.5-1.5B
ID_6150944383255830;0.6011;0.5153;0.6000;0.4000;0.2000;0.2000;0.2667;0.2667;0.2267;0.2937;0.6331;4;5;0.2267;0.3492;0.6675;Qwen 2.5-1.5B
ID_5105401635003548;0.3088;0.2644;0.4000;0.2000;0.1500;0.0870;0.0870;0.1304;0.0652;0.4885;0.7299;2;3;0.0753;0.5420;0.7226;Qwen 2.5-1.5B
ID_2679480309784746;0.2042;0.2464;0.4000;0.3000;0.3000;0.0690;0.1034;0.2069;0.0397;0.4082;0.6638;3;6;0.0739;0.5510;0.6606;Qwen 2.5-1.5B
ID_5558354805733623;0.3529;0.3628;0.2000;0.4000;0.4000;0.0294;0.1176;0.2353;0.0486;0.2047;0.6493;4;8;0.0915;0.2543;0.6919;Qwen 2.5-1.5B
ID_9274817658247444;0.2999;0.2874;0.4000;0.3000;0.2500;0.0800;0.1200;0.2000;0.0533;0.1400;0.7007;3;6;0.0727;0.1600;0.7044;Qwen 2.5-1.5B
ID_4924315260445096;0.4648;0.4348;0.4000;0.4000;0.2500;0.1429;0.2857;0.3571;0.1837;0.4750;0.6686;5;9;0.2092;0.6250;0.6916;Qwen 2.5-1.5B
ID_2513765362378596;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1154;0.3638;0;0;0.0000;0.1154;0.3638;Qwen 2.5-1.5B
ID_7435229418765108;0.3445;0.2899;0.4000;0.4000;0.3000;0.0488;0.0976;0.1463;0.0416;0.1591;0.5102;4;6;0.0569;0.1705;0.4758;Qwen 2.5-1.5B
ID_5240388600131197;0.1806;0.1798;0.2000;0.2000;0.1500;0.0714;0.1429;0.2143;0.0516;0.7756;0.6046;2;3;0.0650;0.8324;0.6010;Qwen 2.5-1.5B
ID_0203267762283972;0.5048;0.4763;0.8000;0.4000;0.4000;0.1290;0.1290;0.2581;0.1226;0.1985;0.6228;4;8;0.1676;0.2353;0.5971;Qwen 2.5-1.5B
ID_4215849919453600;0.4637;0.2992;0.6000;0.3000;0.1500;0.0698;0.0698;0.0698;0.0640;0.0731;0.6400;4;4;0.0640;0.1152;0.6531;Qwen 2.5-1.5B
ID_3205712027513800;0.5294;0.3790;0.4000;0.5000;0.3000;0.0357;0.0893;0.1071;0.0533;0.4842;0.6800;5;6;0.0616;0.5380;0.6807;Qwen 2.5-1.5B
ID_4344790398205987;0.4748;0.4086;0.8000;0.4000;0.4500;0.1026;0.1026;0.2308;0.0974;0.0739;0.6711;4;9;0.1555;0.3695;0.7057;Qwen 2.5-1.5B
ID_1976491943464607;0.7180;0.5052;0.8000;0.8000;0.4500;0.0976;0.1951;0.2195;0.1698;0.7241;0.7092;8;10;0.1855;0.7414;0.6886;Qwen 2.5-1.5B
ID_3497095259123139;0.4690;0.3534;0.6000;0.3000;0.2500;0.0811;0.0811;0.1351;0.0811;0.1809;0.5258;3;5;0.0963;0.2195;0.6251;Qwen 2.5-1.5B
ID_3664073315037262;0.5628;0.4919;0.8000;0.5000;0.3500;0.2000;0.2500;0.3500;0.2317;0.3727;0.6156;5;7;0.2836;0.3887;0.6545;Qwen 2.5-1.5B
ID_6799776599317117;0.2620;0.3599;0.2000;0.2000;0.3000;0.0500;0.1000;0.3000;0.0611;0.3462;0.7017;3;8;0.1183;0.3846;0.7151;Qwen 2.5-1.5B
ID_3470407274471561;0.1662;0.1600;0.4000;0.2000;0.1500;0.0870;0.0870;0.1304;0.0870;0.6091;0.5650;2;4;0.0963;0.7000;0.6029;Qwen 2.5-1.5B
ID_8600906973888297;0.2607;0.2038;0.2000;0.1000;0.0500;0.0263;0.0263;0.0263;0.0263;0.1135;0.6403;1;1;0.0263;0.1135;0.6403;Qwen 2.5-1.5B
ID_8918399592544099;0.4624;0.4757;0.6000;0.3000;0.3500;0.1364;0.1364;0.3182;0.1098;0.4455;0.6844;5;9;0.1731;0.5091;0.7239;Qwen 2.5-1.5B
ID_4937676152604286;0.1159;0.1607;0.4000;0.2000;0.2500;0.0541;0.0541;0.1351;0.0270;0.1400;0.7050;3;7;0.0449;0.1900;0.6839;Qwen 2.5-1.5B
ID_2961250776014138;0.3999;0.3694;0.6000;0.5000;0.2500;0.2308;0.3846;0.3846;0.2427;0.4457;0.5022;5;5;0.2427;0.4864;0.6171;Qwen 2.5-1.5B
ID_3332983150165256;0.5389;0.5953;0.8000;0.4000;0.5500;0.1290;0.1290;0.3548;0.1145;0.7183;0.5403;4;11;0.2283;0.7606;0.5115;Qwen 2.5-1.5B
ID_4698230094310892;0.0391;0.0422;0.0000;0.1000;0.0500;0.0000;0.0714;0.0714;0.0071;0.3358;0.6498;1;2;0.0071;0.5547;0.6321;Qwen 2.5-1.5B
ID_1530363715825171;0.0406;0.0329;0.2000;0.1000;0.0500;0.0370;0.0370;0.0370;0.0093;0.4351;0.7233;1;1;0.0093;0.4351;0.6448;Qwen 2.5-1.5B
ID_4589542599288419;0.3952;0.4481;0.6000;0.5000;0.4500;0.1364;0.2273;0.4091;0.1347;0.2131;0.6581;5;9;0.2315;0.3299;0.6855;Qwen 2.5-1.5B
ID_6029111646602279;0.2628;0.2612;0.4000;0.3000;0.3000;0.0741;0.1111;0.2222;0.0529;0.1338;0.6811;4;7;0.0966;0.1529;0.6973;Qwen 2.5-1.5B
ID_0600862973859542;0.5721;0.5816;0.6000;0.5000;0.5000;0.1429;0.2381;0.4762;0.1998;0.2941;0.6247;5;10;0.3169;0.3529;0.6422;Qwen 2.5-1.5B
ID_4125254830545309;0.1354;0.1505;0.0000;0.1000;0.1000;0.0000;0.1250;0.2500;0.0156;0.4118;0.7545;2;3;0.0288;0.4171;0.6910;Qwen 2.5-1.5B
ID_6998917765406696;0.6275;0.4961;0.8000;0.5000;0.4000;0.1333;0.1667;0.2667;0.1505;0.2238;0.6055;5;8;0.1900;0.3636;0.7104;Qwen 2.5-1.5B
ID_0004473428354479;0.3206;0.3068;0.4000;0.4000;0.4000;0.0571;0.1143;0.2286;0.0678;0.4600;0.6293;4;8;0.1178;0.5133;0.6785;Qwen 2.5-1.5B
ID_7181547335252993;0.7771;0.5795;1.0000;0.9000;0.5500;0.1111;0.2000;0.2444;0.1953;0.2881;0.6991;9;11;0.2359;0.3051;0.6900;Qwen 2.5-1.5B
ID_2798283991743817;0.2932;0.2968;0.2000;0.1000;0.0500;0.1000;0.1000;0.1000;0.1000;0.5088;0.7047;1;2;0.1000;0.5263;0.7411;Qwen 2.5-1.5B
ID_0947912377089491;0.3862;0.3696;0.4000;0.3000;0.3000;0.0800;0.1200;0.2400;0.0920;0.8750;0.6818;3;7;0.1303;0.8750;0.6702;Qwen 2.5-1.5B
ID_8735458741337698;0.2622;0.3417;0.2000;0.2000;0.1500;0.1429;0.2857;0.4286;0.1837;0.2692;0.7752;2;3;0.2105;0.4038;0.7815;Qwen 2.5-1.5B
ID_6450292906586525;0.0000;0.1157;0.0000;0.0000;0.2000;0.0000;0.0000;0.1429;0.0000;0.0695;0.7449;0;4;0.0217;0.1660;0.7232;Qwen 2.5-1.5B
ID_7003614933284367;0.4729;0.3772;0.4000;0.4000;0.3000;0.0714;0.1429;0.2143;0.0927;0.1528;0.6468;4;6;0.1196;0.5833;0.6533;Qwen 2.5-1.5B
